# Kungsleden end-of-day destinations (STF + others), south -> north.
# name,lat,lon
Syterstugan,65.8943,15.5017
Servestugan,65.9724,15.764
Ammarnäs,65.95729,16.205235
Adolfström,66.278009,16.657022
Jäckvikk,66.387511,16.966057
Vuonatviken,66.491056,17.245912
Västerfjäll,66.708113,17.397709
Kvikkjokk,66.9548,17.7203
Pårte,67.042306,17.942996
Aktse,67.148672,18.305904
Sitojaure,67.232681,18.440723
Saltoluokta,67.3939,18.5203
Vakkotavare,67.5816,18.0999
Teusajaure,67.694756,18.155433
Kaitumjaure,67.7468,18.2957
Singi,67.8504,18.316
Sälka,67.9466,18.2825
Tjäktja,68.051648,18.241082
Alesjaure,68.1366,18.4146
Abiskojaure,68.2862,18.5909
Abisko,68.3583,18.784
